Income Level,Country,Color Bin,X,Jan.19,Feb.19,Mar.19,Apr.19,May.19,Jun.19,Jul.19,Aug.19,Sep.19,Oct.19,Nov.19,Dec.19,Jan.20,Feb.20,Mar.20,Apr.20,May.20,Jun.20,Jul.20,Aug.20,Sep.20,Oct.20,Nov.20,Dec.20,Jan.21,Feb.21,Mar.21,Apr.21,May.21,Jun.21,Jul.21,Aug.21
Lower middle income,East Timor,5-30.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06
Lower middle income,East Timor,5-30.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00
Lower middle income,Egypt,2-5.,Food Change Yoy,,,,,,,,,,,,,0.03,,,,,,,,,,0.04,0.03,,,,,,,0.05,
Lower middle income,Egypt,2-5.,Min. Bin,,,,,,,,,,,,,1.00,,,,,,,,,,1.00,1.00,,,,,,,1.00,
Lower middle income,Egypt,5-30.,Food Change Yoy,0.13,0.15,0.15,0.13,0.15,0.10,0.09,0.07,,,,,,,,,,,,,,,,,,,,,,,,0.07
Lower middle income,Egypt,5-30.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,1.00
Lower middle income,Egypt,< 2.,Food Change Yoy,,,,,,,,,0.00,-0.05,-0.05,0.02,,-0.01,-0.02,0.01,-0.01,0.00,-0.02,-0.04,-0.03,-0.01,,,-0.01,0.00,0.01,,,,,
Lower middle income,Egypt,< 2.,Min. Bin,,,,,,,,,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,1.00,1.00,1.00,,,,,
Lower middle income,El Salvador,2-5.,Food Change Yoy,,,,,0.02,0.03,,,,,,,,,,0.02,0.02,0.03,0.03,0.02,,,,,,,,,,,,0.02
Lower middle income,El Salvador,2-5.,Min. Bin,,,,,1.00,1.00,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,1.00
Lower middle income,El Salvador,< 2.,Food Change Yoy,0.01,0.01,0.01,0.02,,,0.02,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.00,-0.01,-0.01,0.00,
Lower middle income,El Salvador,< 2.,Min. Bin,1.00,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
Lower middle income,Eswatini,2-5.,Food Change Yoy,,,,0.02,,0.02,0.03,0.03,0.03,0.02,0.02,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,,,,,,,,,,,
Lower middle income,Eswatini,2-5.,Min. Bin,,,,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,
Lower middle income,Eswatini,< 2.,Food Change Yoy,0.01,0.01,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Eswatini,< 2.,Min. Bin,1.00,1.00,1.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Ghana,5-30.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.11
Lower middle income,Ghana,5-30.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00
Lower middle income,Honduras,2-5.,Food Change Yoy,,,,,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.03,0.03,0.03,0.04,,,,,,0.05,0.03,0.04,0.04,0.04,0.04,0.03,,,,,
Lower middle income,Honduras,2-5.,Min. Bin,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,
Lower middle income,Honduras,5-30.,Food Change Yoy,,,,,,,,,,,,,,,,0.06,0.05,0.05,0.07,0.06,,,,,,,,,,,,
Lower middle income,Honduras,5-30.,Min. Bin,,,,,,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,
Lower middle income,Honduras,< 2.,Food Change Yoy,0.01,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.00,0.01
Lower middle income,Honduras,< 2.,Min. Bin,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00
Lower middle income,India,2-5.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.03
Lower middle income,India,2-5.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00
Lower middle income,Kenya,5-30.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.11
Lower middle income,Kenya,5-30.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00
Lower middle income,Kiribati,2-5.,Food Change Yoy,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Kiribati,2-5.,Min. Bin,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Kiribati,< 2.,Food Change Yoy,0.01,,0.02,0.01,-0.04,-0.03,-0.03,-0.04,-0.02,-0.03,-0.05,-0.04,,,,,,,,,,,,,,,,,,,,
Lower middle income,Kiribati,< 2.,Min. Bin,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,
Lower middle income,Kyrgyzstan,2-5.,Food Change Yoy,,,,,,,0.03,0.04,0.04,0.05,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Kyrgyzstan,2-5.,Min. Bin,,,,,,,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Kyrgyzstan,5-30.,Food Change Yoy,,,,,,,,,,,0.05,0.06,0.06,0.07,0.11,0.16,0.13,0.11,0.09,0.09,0.10,0.13,0.15,0.18,0.18,0.19,0.17,,,,0.23,0.21
Lower middle income,Kyrgyzstan,5-30.,Min. Bin,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,1.00,1.00
Lower middle income,Kyrgyzstan,< 2.,Food Change Yoy,-0.03,-0.03,-0.03,-0.02,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Kyrgyzstan,< 2.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Lao People`s Democratic Republic,2-5.,Food Change Yoy,,,,0.02,0.03,0.03,0.04,0.05,,,,,,,,,,,,,,,0.04,0.05,0.02,0.02,0.03,0.03,0.03,0.04,0.04,
Lower middle income,Lao People`s Democratic Republic,2-5.,Min. Bin,,,,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
Lower middle income,Lao People`s Democratic Republic,5-30.,Food Change Yoy,,,,,,,,,0.06,0.09,0.10,0.10,0.11,0.10,0.10,0.11,0.11,0.10,0.09,0.10,0.08,0.06,,,,,,,,,,
Lower middle income,Lao People`s Democratic Republic,5-30.,Min. Bin,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,
Lower middle income,Lao People`s Democratic Republic,< 2.,Food Change Yoy,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Lao People`s Democratic Republic,< 2.,Min. Bin,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Lesotho,5-30.,Food Change Yoy,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.06,0.05,0.05,0.09,0.10,0.11,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.11,0.11,0.09,0.08,0.08
Lower middle income,Lesotho,5-30.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Lower middle income,Mauritania,2-5.,Food Change Yoy,0.04,0.03,0.03,0.02,0.02,,0.03,0.03,,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.02,,,,,0.03,0.03,0.04,,,,,,,
Lower middle income,Mauritania,2-5.,Min. Bin,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,1.00,1.00,1.00,,,,,,,
Lower middle income,Mauritania,5-30.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.06,
Lower middle income,Mauritania,5-30.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,
Lower middle income,Mauritania,< 2.,Food Change Yoy,,,,,,0.02,,,0.02,,,,,,,,,,0.01,0.01,0.02,0.01,,,,,,,,,,
Lower middle income,Mauritania,< 2.,Min. Bin,,,,,,1.00,,,1.00,,,,,,,,,,1.00,1.00,1.00,1.00,,,,,,,,,,
Lower middle income,Moldova,2-5.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.05
Lower middle income,Moldova,2-5.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00
Lower middle income,"Moldova, Republic of",2-5.,Food Change Yoy,0.03,0.04,0.04,0.05,,,,,,,,,,,,,,,,,,0.04,0.03,,,,0.03,,,0.05,0.04,0.05
Lower middle income,"Moldova, Republic of",2-5.,Min. Bin,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,1.00,1.00,,,,1.00,,,1.00,1.00,1.00
Lower middle income,"Moldova, Republic of",5-30.,Food Change Yoy,,,,,0.08,0.07,0.09,0.08,0.10,0.11,0.12,0.13,0.12,0.11,0.11,0.10,0.08,0.09,0.08,0.08,0.06,,,,,,,0.05,0.05,,,
Lower middle income,"Moldova, Republic of",5-30.,Min. Bin,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,1.00,1.00,,,
Lower middle income,"Moldova, Republic of",< 2.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.02,,,,,,
Lower middle income,"Moldova, Republic of",< 2.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,,,,,,
Lower middle income,Mongolia,2-5.,Food Change Yoy,,,,,,,,,,,,,,,,,0.05,,,0.04,0.02,0.04,,,,,,,,,,
Lower middle income,Mongolia,2-5.,Min. Bin,,,,,,,,,,,,,,,,,1.00,,,1.00,1.00,1.00,,,,,,,,,,
Lower middle income,Mongolia,5-30.,Food Change Yoy,0.11,0.09,0.08,0.08,0.11,0.11,0.09,0.13,0.16,0.14,0.10,0.08,0.08,0.10,0.10,0.08,,0.05,0.07,,,,0.08,0.09,0.08,0.09,0.08,0.12,0.13,0.13,0.11,
Lower middle income,Mongolia,5-30.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
Lower middle income,Morocco,2-5.,Food Change Yoy,,,,,,,,,,,,,,,0.03,0.02,,,,,0.03,0.03,,,,,,,,,0.03,
Lower middle income,Morocco,2-5.,Min. Bin,,,,,,,,,,,,,,,1.00,1.00,,,,,1.00,1.00,,,,,,,,,1.00,
Lower middle income,Morocco,< 2.,Food Change Yoy,-0.03,-0.02,-0.03,-0.02,-0.01,-0.01,-0.01,0.00,-0.01,,-0.01,0.01,0.01,0.01,,,0.00,-0.02,-0.01,0.02,,,0.00,-0.02,-0.01,-0.01,,,,,,-0.01
Lower middle income,Morocco,< 2.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,,,,,,1.00
Lower middle income,Morocco,No Value,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Morocco,No Value,Min. Bin,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Myanmar,2-5.,Food Change Yoy,,,,,,,,,,,,,,,0.05,0.04,0.03,,,,0.02,,,,,,0.02,,,,,
Lower middle income,Myanmar,2-5.,Min. Bin,,,,,,,,,,,,,,,1.00,1.00,1.00,,,,1.00,,,,,,1.00,,,,,
Lower middle income,Myanmar,5-30.,Food Change Yoy,0.07,0.08,0.09,0.10,0.11,0.12,0.10,0.10,0.09,0.08,0.07,0.08,0.07,0.06,,,,,,,,,,,,,,,,,,
Lower middle income,Myanmar,5-30.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,
Lower middle income,Myanmar,< 2.,Food Change Yoy,,,,,,,,,,,,,,,,,,0.02,0.01,0.01,,0.02,0.01,,,0.02,,,,,,
Lower middle income,Myanmar,< 2.,Min. Bin,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,,1.00,1.00,,,1.00,,,,,,
Lower middle income,Nepal,2-5.,Food Change Yoy,0.02,0.02,0.02,0.03,0.05,,,,,,,,,,,,,,,,,,,,0.04,0.03,0.04,0.03,0.05,,,
Lower middle income,Nepal,2-5.,Min. Bin,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,,,
Lower middle income,Nepal,5-30.,Food Change Yoy,,,,,,0.07,0.06,0.09,0.07,0.08,0.09,0.11,0.11,0.10,0.09,0.10,0.09,0.05,0.06,0.05,0.08,0.06,0.07,0.06,,,,,,0.06,0.06,
Lower middle income,Nepal,5-30.,Min. Bin,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,1.00,1.00,
Lower middle income,Nicaragua,2-5.,Food Change Yoy,,,0.04,0.05,0.05,0.05,,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.04,,,,,,0.04,0.04,
Lower middle income,Nicaragua,2-5.,Min. Bin,,,1.00,1.00,1.00,1.00,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,1.00,1.00,
Lower middle income,Nicaragua,5-30.,Food Change Yoy,,,,,,,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.06,,,,,,,,,,,0.06,0.06,0.06,,,,,
Lower middle income,Nicaragua,5-30.,Min. Bin,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,1.00,1.00,1.00,,,,,
Lower middle income,Nicaragua,< 2.,Food Change Yoy,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Nicaragua,< 2.,Min. Bin,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Nigeria,5-30.,Food Change Yoy,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,,,,,,,,,,,,,,0.21,0.20
Lower middle income,Nigeria,5-30.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,1.00,1.00
Lower middle income,Pakistan,2-5.,Food Change Yoy,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Pakistan,2-5.,Min. Bin,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Pakistan,5-30.,Food Change Yoy,,,0.08,0.09,0.09,0.08,0.08,0.11,0.15,0.15,0.20,0.20,0.23,0.19,0.15,0.12,0.12,0.15,0.18,0.13,0.15,0.17,0.15,0.13,0.07,0.10,0.12,0.16,0.15,0.10,0.08,0.10
Lower middle income,Pakistan,5-30.,Min. Bin,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Lower middle income,Pakistan,< 2.,Food Change Yoy,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Pakistan,< 2.,Min. Bin,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Palestine,2-5.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,
Lower middle income,Palestine,2-5.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,
Lower middle income,Palestine,5-30.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
Lower middle income,Palestine,5-30.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00
Lower middle income,"Palestine, State of",2-5.,Food Change Yoy,0.02,,0.05,,0.04,,,0.04,,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,
Lower middle income,"Palestine, State of",2-5.,Min. Bin,1.00,,1.00,,1.00,,,1.00,,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,
Lower middle income,"Palestine, State of",5-30.,Food Change Yoy,,,,0.07,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,"Palestine, State of",5-30.,Min. Bin,,,,1.00,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,"Palestine, State of",< 2.,Food Change Yoy,,0.02,,,,0.01,0.01,,,,,,0.00,0.01,0.00,-0.03,-0.03,-0.04,-0.05,-0.06,-0.04,-0.02,-0.02,-0.02,-0.04,-0.03,-0.05,,,,,
Lower middle income,"Palestine, State of",< 2.,Min. Bin,,1.00,,,,1.00,1.00,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,
Lower middle income,Philippines,2-5.,Food Change Yoy,,0.05,0.03,0.03,0.03,0.03,,,,,,,0.02,0.02,0.03,0.03,0.03,0.03,0.02,,,0.02,0.04,0.05,,,,,,,0.05,
Lower middle income,Philippines,2-5.,Min. Bin,,1.00,1.00,1.00,1.00,1.00,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,1.00,1.00,1.00,,,,,,,1.00,
Lower middle income,Philippines,5-30.,Food Change Yoy,0.06,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.07,0.06,,,,,0.07
Lower middle income,Philippines,5-30.,Min. Bin,1.00,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,,,,,1.00
Lower middle income,Philippines,< 2.,Food Change Yoy,,,,,,,0.02,0.01,-0.01,-0.01,,0.02,,,,,,,,0.02,0.02,,,,,,,,,,,
Lower middle income,Philippines,< 2.,Min. Bin,,,,,,,1.00,1.00,1.00,1.00,,1.00,,,,,,,,1.00,1.00,,,,,,,,,,,
Lower middle income,Philippines,No Value,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Philippines,No Value,Min. Bin,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Sao Tome and Principe,5-30.,Food Change Yoy,0.10,0.11,0.10,0.10,0.10,0.10,0.10,0.08,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Sao Tome and Principe,5-30.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Senegal,2-5.,Food Change Yoy,,,,,0.04,,0.03,,,,0.03,,,,0.03,0.04,0.03,0.02,0.04,0.05,0.04,0.04,0.04,0.04,,0.02,,,,,0.05,0.04
Lower middle income,Senegal,2-5.,Min. Bin,,,,,1.00,,1.00,,,,1.00,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,,,,,1.00,1.00
Lower middle income,Senegal,5-30.,Food Change Yoy,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Senegal,5-30.,Min. Bin,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Senegal,< 2.,Food Change Yoy,0.01,-0.01,0.01,0.01,,,,0.00,0.00,0.02,,0.00,0.02,0.01,,,,,,,,,,,0.01,,0.01,0.00,,,,
Lower middle income,Senegal,< 2.,Min. Bin,1.00,1.00,1.00,1.00,,,,1.00,1.00,1.00,,1.00,1.00,1.00,,,,,,,,,,,1.00,,1.00,1.00,,,,
Lower middle income,Solomon Islands,2-5.,Food Change Yoy,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Solomon Islands,2-5.,Min. Bin,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Solomon Islands,< 2.,Food Change Yoy,0.02,-0.01,-0.01,-0.04,-0.02,-0.02,0.00,-0.02,-0.01,0.02,,0.02,,,,,,,,,,,,,,,,,,,,
Lower middle income,Solomon Islands,< 2.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,,,,,,,,,,,,,,,,,,,,
Lower middle income,Sri Lanka,2-5.,Food Change Yoy,,,,,,,,,0.05,,0.04,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Sri Lanka,2-5.,Min. Bin,,,,,,,,,1.00,,1.00,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Sri Lanka,5-30.,Food Change Yoy,,,,,,,,,,0.07,,0.09,0.14,0.16,0.14,0.12,0.11,0.14,0.13,0.13,0.13,0.11,0.09,0.07,0.06,,,,,,0.11,0.12
Lower middle income,Sri Lanka,5-30.,Min. Bin,,,,,,,,,,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,1.00,1.00
Lower middle income,Sri Lanka,< 2.,Food Change Yoy,-0.05,-0.03,-0.02,-0.01,0.00,-0.03,-0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Sri Lanka,< 2.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Tanzania,2-5.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
Lower middle income,Tanzania,2-5.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00
Lower middle income,Tanzania,5-30.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,
Lower middle income,Tanzania,5-30.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,
Lower middle income,Timor-Leste,2-5.,Food Change Yoy,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,
Lower middle income,Timor-Leste,2-5.,Min. Bin,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,
Lower middle income,Timor-Leste,< 2.,Food Change Yoy,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.00,0.02,,0.00,0.00,0.01,0.01,,,,,,,,,,,,,,,
Lower middle income,Timor-Leste,< 2.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,
Lower middle income,Tunisia,2-5.,Food Change Yoy,,,,,,,,,,,,,0.04,0.04,,,0.05,0.04,0.04,0.04,,,0.04,0.04,0.05,0.05,0.04,,,,,
Lower middle income,Tunisia,2-5.,Min. Bin,,,,,,,,,,,,,1.00,1.00,,,1.00,1.00,1.00,1.00,,,1.00,1.00,1.00,1.00,1.00,,,,,
Lower middle income,Tunisia,5-30.,Food Change Yoy,0.07,0.08,0.08,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.06,0.06,,,0.05,0.06,,,,,0.05,0.06,,,,,,,,,0.08,0.07
Lower middle income,Tunisia,5-30.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,1.00,1.00,,,,,1.00,1.00,,,,,,,,,1.00,1.00
Lower middle income,Ukraine,2-5.,Food Change Yoy,,,,,,,,,,,,0.05,0.03,,,0.03,0.03,0.04,0.03,0.02,,,0.03,0.05,,,,,,,,
Lower middle income,Ukraine,2-5.,Min. Bin,,,,,,,,,,,,1.00,1.00,,,1.00,1.00,1.00,1.00,1.00,,,1.00,1.00,,,,,,,,
Lower middle income,Ukraine,5-30.,Food Change Yoy,0.08,0.08,0.07,0.07,0.09,0.09,0.10,0.10,0.09,0.08,0.07,,,,,,,,,,,,,,0.06,0.09,0.10,,,0.09,0.11,
Lower middle income,Ukraine,5-30.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,1.00,1.00,1.00,,,1.00,1.00,
Lower middle income,Ukraine,< 2.,Food Change Yoy,,,,,,,,,,,,,,0.02,0.02,,,,,,0.01,0.02,,,,,,,,,,
Lower middle income,Ukraine,< 2.,Min. Bin,,,,,,,,,,,,,,1.00,1.00,,,,,,1.00,1.00,,,,,,,,,,
Lower middle income,Viet Nam,2-5.,Food Change Yoy,,,0.05,0.04,0.03,0.02,0.02,,,0.03,,,,,,,,,,,,,,0.03,,,,,,,,
Lower middle income,Viet Nam,2-5.,Min. Bin,,,1.00,1.00,1.00,1.00,1.00,,,1.00,,,,,,,,,,,,,,1.00,,,,,,,,
Lower middle income,Viet Nam,5-30.,Food Change Yoy,0.05,0.06,,,,,,,,,0.06,0.09,0.11,0.09,0.10,0.12,0.12,0.12,0.12,0.12,0.11,0.09,0.07,,,,,,,,,
Lower middle income,Viet Nam,5-30.,Min. Bin,1.00,1.00,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,
Lower middle income,Viet Nam,< 2.,Food Change Yoy,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Viet Nam,< 2.,Min. Bin,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,Zambia,5-30.,Food Change Yoy,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.10,0.12,0.13,0.14,0.15,0.15,0.16,0.15,0.17,0.17,0.16,0.16,0.16,0.14,0.15,0.17,0.20,0.26,0.27,,,,,,
Lower middle income,Zambia,5-30.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,
Lower middle income,Zambia,>30,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.32
