"","Fr_Countryname.x","Country","Fr_Countryname.y","Fr_FCV_status","Fr_FCS_Normalised","Fr_month","Fr_pt_suc","Fr_pt_attempt","Fr_delayed","Fr_irreg_lead_ant","Fr_anticipation","Fr_delayed_adj","Fr_anticipation_adj","Fr_pol_trigger","Fr_REIGN_Normalised","Fr_Country of origin (ISO)","Fr_refugees","Fr_z_refugees","Fr_refugees_fragile","Fr_idps","Fr_z_idps","Fr_idps_fragile","Fr_z_refugees_norm","Fr_Displaced_UNHCR_Normalised","Fr_month_yr","Fr_fatal_month","Fr_fatal_month_log","Fr_fatal_3_month","Fr_fatal_3_month_log","Fr_fatal_z","Fr_sd","Fr_mean","Fr_BRD_Normalised"
"95","Bangladesh","BGD","Bangladesh",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"BGD",22880,1.36000609956614,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,22,3.13549421592915,94,4.55387689160054,0.509944014409628,0.390894798555828,4.35454242881314,7.54972007204814
"96","Bhutan","BTN","Bhutan",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"BTN",6980,-0.813753156882143,"Not Fragile",0,0,"Not Fragile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Burundi","BDI","Burundi","Medium-Intensity conflict",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"BDI",381508,0.37781423106537,"Not Fragile",33256,-0.636472683801084,"Not Fragile",3.7781423106537,0,Jun 2021,49,3.91202300542815,113,4.7361984483945,1.21204436212783,0.333908306931677,4.33148676751031,10
"98","Cambodia","KHM","Cambodia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"KHM",11986,-1.10204787482401,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,3,1.38629436111989,0.765401852845452,0.582739235986664,0.940264670169955,0
"99","China","CHN","China",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"CHN",212863,0.907825286433064,"Not Fragile",0,0,"Not Fragile",9.07825286433064,0,Jun 2021,0,0,3,1.38629436111989,-0.24688408317324,0.66061754309754,1.54939031757568,0
"100","Comoros","COM","Comoros","High-Institutional and Social Fragility",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"COM",658,1.55798165441779,"Fragile",0,0,"Not Fragile",10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Congo","COG","Congo","High-Institutional and Social Fragility",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"COG",13481,-0.44897588781665,"Not Fragile",134430,1.0122623397775,"Fragile",0,10,Jun 2021,0,0,0,0,-0.575103710753842,1.1136118673348,0.640442317243757,0
"102","France","FRA","France",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"FRA",50,-0.812736347605696,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,4,1.6094379124341,0.902060793648758,0.776431165498098,0.909049799071256,0
"103","Gabon","GAB","Gabon",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"GAB",440,1.66103162772271,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,1,0.693147180559945,0.269710617503178,0.623416902218067,0.525005022900792,0
"104","Gambia","GMB","Gambia",NA,0,7,0,0,0,0,1,0,0,"Not Fragile",0,"GMB",17813,1.06338662775506,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,0,0,-0.801233616769775,0.576733315604349,0.462098120373297,0
"105","Germany","DEU","Germany",NA,0,7,0,0,0,0,1,0,0,"Not Fragile",0,"DEU",69,-0.575563163604791,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,3,1.38629436111989,3,1.38629436111989,0.880192182679773,0.866201512516277,0.623870561177668,0
"106","Kiribati","KIR","Kiribati","High-Institutional and Social Fragility",10,7,0,0,0,0,0,0,0,"Not Fragile",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Korea DPR","PRK","Korea DPR",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"PRK",758,-1.24899074549924,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,2,1.09861228866811,7,2.07944154167984,1.14696534868941,1.01885213607413,0.910853446164621,10
"108","Kuwait","KWT","Kuwait",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"KWT",1300,1.39386697607858,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,0,0,-0.421463615211762,0.25967672586012,0.10944429166736,0
"109","Luxembourg","LUX","Luxembourg",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"LUX",5,NA,NA,0,NA,NA,NA,NA,Jun 2021,0,0,0,0,NA,0,0,0
"110","Madagascar","MDG","Madagascar",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"MDG",298,0.981126590930235,"Not Fragile",0,0,"Not Fragile",9.81126590930235,0,Jun 2021,41,3.73766961828337,98,4.59511985013459,0.812876615043781,0.514241360298419,4.1771050738597,9.0643830752189
"111","Malta","MLT","Malta",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"MLT",5,NA,NA,0,0,"Not Fragile",NA,0,Jun 2021,0,0,0,0,NA,0,0,0
"112","Mexico","MEX","Mexico",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"MEX",14621,1.70312630325898,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,771,6.64898455002478,2145,7.67136092319064,-0.502792229076853,0.102925413705708,7.72311102137639,2.48603885461573
"113","Micronesia","FSM","Micronesia","High-Institutional and Social Fragility",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Moldova Republic of","MDA","Moldova Republic of",NA,0,7,0,0,0,0,1,0,0,"Not Fragile",0,"MDA",2427,1.30853749149126,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,0,0,NA,0,0,0
"115","Mongolia","MNG","Mongolia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"MNG",2364,1.65648617260322,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,0,0,-0.288892102032128,0.189420705684762,0.0547221458336799,0
"116","Morocco","MAR","Morocco",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"MAR",4637,1.4447580601018,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,8,2.19722457733622,1.7842305856241,0.747414000011257,0.863665658392484,10
"117","Nauru","NRU","Nauru",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Panama","PAN","Panama",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"PAN",45,-0.291704337531101,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,1,0.693147180559945,0.504742148167489,0.442522209468212,0.469787569941136,0
"119","Rwanda","RWA","Rwanda",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"RWA",246698,0.160986519246742,"Not Fragile",0,0,"Not Fragile",1.60986519246742,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Samoa","WSM","Samoa",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Sao Tome and Principe","STP","Sao Tome and Principe",NA,0,7,0,0,0,0,1,0,0,"Not Fragile",0,"STP",28,-0.0485872170243174,"Not Fragile",0,0,"Not Fragile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Saudi Arabia","SAU","Saudi Arabia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"SAU",1762,1.41318624673659,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,0,0,-1.62653592406647,2.29287550302758,3.72944437508634,0
"123","Senegal","SEN","Senegal",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"SEN",17203,-1.25905014328262,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,5,1.79175946922805,0.978705007093135,0.869577635231177,0.940699483571095,0
"124","Sierra Leone","SLE","Sierra Leone",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"SLE",5268,1.53153181802356,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,1,0.693147180559945,-0.477459518441697,1.03965138532194,1.189538630343,0
"125","Tanzania","TZA","Tanzania",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"TZA",849,0.960022300727691,"Not Fragile",0,0,"Not Fragile",9.60022300727691,0,Jun 2021,0,0,5,1.79175946922805,-0.0883071428312479,1.01692552541868,1.88156125684994,0
"126","Togo","TGO","Togo",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"TGO",8022,-0.785466331025076,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,1,0.693147180559945,1,0.693147180559945,-0.451922138786489,0.71395372985102,1.01579867714881,0
"127","Turkey","TUR","Turkey",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"TUR",83271,1.86212507300506,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,32,3.49650756146648,90,4.51085950651685,-0.581924531290227,1.01854345093469,5.10357492680075,2.09037734354887
"128","Turkmenistan","TKM","Turkmenistan",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"TKM",478,0.9334301635647,"Not Fragile",0,0,"Not Fragile",9.33430163564701,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Tuvalu","TUV","Tuvalu","High-Institutional and Social Fragility",10,7,0,0,0,0,0,0,0,"Not Fragile",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Uzbekistan","UZB","Uzbekistan",NA,0,7,0,0,0,0,1,0,0,"Not Fragile",0,"UZB",3217,-0.919359957850771,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,1,0.693147180559945,1,0.693147180559945,0.518261780096042,0.448608668078648,0.460650453674991,0
"131","Vanuatu","VUT","Vanuatu",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Australia","AUS","Australia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"AUS",20,0.420658080477572,"Not Fragile",0,0,"Not Fragile",4.20658080477572,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Austria","AUT","Austria",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"AUT",18,0.445304527496819,"Not Fragile",0,0,"Not Fragile",4.4530452749682,0,Jun 2021,0,0,0,0,-0.654592873405322,0.711770652820343,0.46591999683525,0
"134","Belgium","BEL","Belgium",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"BEL",34,-1.2982877324458,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,1,0.693147180559945,1.13300001028761,0.41410171460399,0.223969933653507,5
"135","Chile","CHL","Chile",NA,0,7,0,0,0,0,1,0,0,"Not Fragile",0,"CHL",486,-0.690088098351043,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,2,1.09861228866811,-0.522027782413116,0.848477692926105,1.54154121713332,0
"136","Cuba","CUB","Cuba",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"CUB",6631,0.410021762404182,"Not Fragile",0,0,"Not Fragile",4.10021762404182,0,Jun 2021,0,0,0,0,-0.731674145131987,0.438979401065041,0.321189878004816,0
"137","Czech Republic","CZE","Czech Republic",NA,0,7,0,0,0,0,1,0,0,"Not Fragile",0,"CZE",1166,-1.73827650332547,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,1,0.693147180559945,1,0.693147180559945,3.75,0.173286795139986,0.0433216987849966,5
"138","Dominican Republic","DOM","Dominican Republic",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"DOM",546,1.62535555331188,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,0,0,-1.53679699845102,0.706854582760219,1.08629200112725,0
"139","Estonia","EST","Estonia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"EST",269,-1.18120074792611,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,NA,0,0,0
"140","Iceland","ISL","Iceland",NA,0,7,0,0,0,0,1,0,0,"Not Fragile",0,"ISL",5,NA,NA,0,0,"Not Fragile",NA,0,Jun 2021,0,0,0,0,-0.526234811584218,0.607930293270157,0.319914083335359,0
"141","India","IND","India",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"IND",11979,1.44499529659935,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,74,4.31748811353631,298,5.70044357339069,-0.621148819131017,0.331571563732183,5.90639885866036,1.89425590434492
"142","Ireland","IRL","Ireland",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jun 2021,0,0,0,0,NA,0,0,0
"143","Israel","ISR","Israel",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"ISR",452,-0.727804036068861,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,15,2.77258872223978,2.32520102344537,0.86461035083188,0.762195849604034,10
"144","Italy","ITA","Italy",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"ITA",76,1.23058397420197,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,1,0.693147180559945,1,0.693147180559945,3.75,0.173286795139986,0.0433216987849966,5
"145","Japan","JPN","Japan",NA,0,7,0,0,0,0,1,0,0,"Not Fragile",0,"JPN",39,-0.647047407709208,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,NA,0,0,0
"146","Jordan","JOR","Jordan",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"JOR",2384,1.07984489293958,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,0,0,-0.821198156350346,0.757928010879686,0.622409085180682,0
"147","Latvia","LVA","Latvia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"LVA",144,-1.0960069245997,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,NA,0,0,0
"148","Liberia","LBR","Liberia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"LBR",5375,-0.750957565241001,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,1,0.693147180559945,0.163459070899712,0.557486344011329,0.602020980728576,0
"149","Lithuania","LTU","Lithuania",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"LTU",61,-0.771900741138046,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,NA,0,0,0
"150","Netherlands","NLD","Netherlands",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"NLD",55,0.444749589996661,"Not Fragile",0,0,"Not Fragile",4.44749589996661,0,Jun 2021,0,0,0,0,-0.465130254709532,0.279416561359036,0.12996509635499,0
"151","New Zealand","NZL","New Zealand",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"NZL",34,0.83805732128727,"Not Fragile",0,0,"Not Fragile",8.3805732128727,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","North Macedonia","MKD","North Macedonia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"MKD",1784,1.05834746854342,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,0,0,-0.23258023830812,0.156855246263254,0.0364814305557866,0
"153","Philippines","PHL","Philippines",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"PHL",552,0.239865790037115,"Not Fragile",178897,0.378315416348216,"Not Fragile",2.39865790037115,3.78315416348216,Jun 2021,106,4.67282883446191,332,5.80814248998044,-1.15514006205115,0.157794090817981,5.99041676583923,0
"154","Portugal","PRT","Portugal",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"PRT",25,0.340637278162948,"Not Fragile",0,0,"Not Fragile",3.40637278162948,0,Jun 2021,0,0,0,0,-0.75,0.346573590279973,0.259930192709979,0
"155","Qatar","QAT","Qatar",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"QAT",36,1.47621779149348,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,0,0,NA,0,0,0
"156","Saint Kitts and Nevis","KNA","Saint Kitts and Nevis",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"KNA",57,0.824630936376858,"Not Fragile",0,0,"Not Fragile",8.24630936376858,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Saint Vincent and the Grenadines","VCT","Saint Vincent and the Grenadines",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"VCT",979,-1.35199277292181,"Not Fragile",0,0,"Not Fragile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Singapore","SGP","Singapore",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"SGP",39,-1.06998122090255,"Not Fragile",0,0,"Not Fragile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Slovenia","SVN","Slovenia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"SVN",19,-0.429844406940441,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,NA,0,0,0
"160","Sweden","SWE","Sweden",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"SWE",13,-0.997965409896352,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,-0.465130254709532,0.279416561359036,0.12996509635499,0
"161","Switzerland","CHE","Switzerland",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"CHE",5,-0.645497224367903,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,NA,0,0,0
"162","Thailand","THA","Thailand",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"THA",482,1.98708598905359,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,6,1.94591014905531,17,2.89037175789616,-1.22660939352876,0.527707456853593,3.53766268150796,0
"163","Tonga","TON","Tonga",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"TON",32,0.754390940465824,"Not Fragile",0,0,"Not Fragile",7.54390940465824,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","United States of America","USA","United States of America",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"USA",298,-0.650725555296907,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,17,2.89037175789616,47,3.87120101090789,0.667443058640877,0.24676019494901,3.7065026316403,8.33721529320439
"165","Uruguay","URY","Uruguay",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"URY",15,-0.606907571243454,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,-0.486183751292721,0.342581710593179,0.166557661180469,0
"166","Benin","BEN","Benin",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"BEN",716,1.26719618370564,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,3,1.38629436111989,32,3.49650756146648,1.29923272557091,0.752233677105484,2.51918095089449,10
"167","Canada","CAN","Canada",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"CAN",71,-0.990090108158738,"Not Fragile",0,0,"Not Fragile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Costa Rica","CRI","Costa Rica",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"CRI",206,-0.604632674266815,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,-0.910465304799611,0.749527981169199,0.682419221831052,0
"169","CÃ´te d'Ivoire","CIV","C™te d'Ivoire",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"CIV",39364,-0.744209377444576,"Not Fragile",0,-0.445655830397439,"Not Fragile",0,0,Jun 2021,5,1.79175946922805,14,2.70805020110221,0.296338678715242,1.00839408162367,2.40922403132958,6.48169339357621
"170","Denmark","DNK","Denmark",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"DNK",5,-1.15470053837925,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,-0.465130254709532,0.279416561359036,0.12996509635499,0
"171","Eswatini","SWZ","Eswatini",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"SWZ",217,0.154761450969904,"Not Fragile",0,0,"Not Fragile",1.54761450969904,0,Jun 2021,17,2.89037175789616,17,2.89037175789616,2.93659769073037,0.759248553396494,0.660764209301645,10
"172","Finland","FIN","Finland",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jun 2021,0,0,0,0,-0.465130254709532,0.279416561359036,0.12996509635499,0
"173","Ghana","GHA","Ghana",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"GHA",18425,-0.199884968045506,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,7,2.07944154167984,15,2.77258872223978,0.812039338939105,0.697785737622634,2.20595925313956,9.06019669469553
"174","Guinea-Bissau","GNB","Guinea-Bissau","High-Institutional and Social Fragility",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"GNB",2093,1.11766837773704,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,0,0,-0.83088088383003,0.661176460358457,0.549358881750246,0
"175","Indonesia","IDN","Indonesia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"IDN",12051,-0.989307783120718,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,11,2.484906649788,37,3.63758615972639,-0.204744599407255,0.457978688805772,3.73135482290298,3.97627700296373
"176","Jamaica","JAM","Jamaica",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"JAM",2529,1.21150964005766,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,21,3.09104245335832,48,3.89182029811063,-1.45289334256364,0.158897688107521,4.1226816913108,0
"177","Korea Republic of","KOR","Korea Republic of",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"KOR",180,-1.07494439096639,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,NA,0,0,0
"178","Kyrgyzstan","KGZ","Kyrgyzstan",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"KGZ",2963,1.18808246292505,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,31,3.46573590279973,2.66577882532982,1.00315872881595,0.791536605077397,10
"179","Lao PDR","LAO","Lao PDR",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"LAO",6757,-1.41245404590327,"Not Fragile",0,0,"Not Fragile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Liechtenstein","LIE","Liechtenstein",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Marshall Islands","MHL","Marshall Islands","High-Institutional and Social Fragility",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"MHL",7,0.912870929175277,"Not Fragile",0,0,"Not Fragile",9.12870929175277,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Namibia","NAM","Namibia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"NAM",459,-2.02248375433021,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,-0.715839570625359,0.435870042885391,0.312013024347535,0
"183","Nepal","NPL","Nepal",NA,0,7,0,0,1,0,1,0,0,"Not Fragile",0,"NPL",8192,-1.13917210674748,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,1,0.693147180559945,-0.93281134738404,0.750087175854786,1.39283700972454,0
"184","Norway","NOR","Norway",NA,0,7,0,0,0,0,1,0,0,"Not Fragile",0,"NOR",5,-1.11803398874989,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,-0.465130254709532,0.279416561359036,0.12996509635499,0
"185","Paraguay","PRY","Paraguay",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"PRY",84,0.554331816945134,"Not Fragile",0,0,"Not Fragile",5.54331816945134,0,Jun 2021,1,0.693147180559945,4,1.6094379124341,0.485266787690078,0.906456000000946,1.16956492113124,0
"186","Russian Federation","RUS","Russian Federation",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"RUS",62343,-0.525961301607439,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,1,0.693147180559945,-2.7055252017019,0.703281278518919,2.59589240347801,0
"187","Slovakia","SVK","Slovakia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"SVK",1343,1.21096260556853,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,0,0,NA,0,0,0
"188","Sri Lanka","LKA","Sri Lanka",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"LKA",110348,-1.44441107576674,"Not Fragile",25110,-1.52591279751243,"Not Fragile",0,0,Jun 2021,2,1.09861228866811,3,1.38629436111989,-0.549762298546057,1.28988785654622,2.09542607400139,0
"189","United Kingdom","GBR","United Kingdom",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBR",69,-0.981748451759817,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,1,0.693147180559945,0.107183761042463,0.548128308657144,0.634396726904228,0
"190","Viet Nam","VNM","Viet Nam",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"VNM",316441,-0.687365161232618,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,-0.725140177831225,0.564628010885786,0.40943445622221,0
=======
"1","Libya","LBY","Libya","medium-intensity conflict",10,8,0,0,0,1,1,0,1,"Fragile",10,"LBY",17595,1.28618077854046,"Fragile",278177,-0.0139112050004425,"Not Fragile",10,0,Jul 2021,16,2.83321334405622,40,3.71357206670431,-0.998539869915282,1.45959370744268,5.17103457746329,0.00730065042358952
"2","Sudan","SDN","Sudan","high-institutional and social fragility",10,8,0,0,0,0,0,0,0,"Not Fragile",0,"SDN",787755,1.61988842805072,"Fragile",2552174,0.5761497579312,"Not Fragile",10,5.761497579312,Jul 2021,167,5.12396397940326,408,6.0137151560428,1.0692092502541,0.495887663977169,5.48350747863151,10
"3","Afghanistan","AFG","Afghanistan","high-intensity conflict",10,8,0,0,0,0,0,0,0,"Not Fragile",0,"AFG",2594774,-0.444420952401947,"Not Fragile",2886317,1.38231502496045,"Fragile",0,10,Jul 2021,8201,9.012133305952,23130,10.0489289881863,2.65053633128694,0.31759160320271,9.20714090538585,10
"4","Mozambique","MOZ","Mozambique","medium-intensity conflict",10,8,0,0,0,0,0,0,0,"Not Fragile",0,"MOZ",91,1.81365857154922,"Fragile",668038,2.18757859048449,"Fragile",10,10,Jul 2021,137,4.92725368515721,404,6.00388706710654,0.957868875926052,0.784727273457564,5.25222123577123,9.78934437963026
"5","Niger","NER","Niger","medium-intensity conflict",10,8,0,0,0,0,0,0,0,"Not Fragile",0,"NER",18874,2.24884012727322,"Fragile",298458,1.689973095727,"Fragile",10,10,Jul 2021,115,4.75359019110636,284,5.65248918026865,0.543595153734901,0.86110551030648,5.18439639801163,7.7179757686745
"6","Algeria","DZA","Algeria",NA,0,8,0,0,0,0,0,0,0,"Not Fragile",0,"DZA",4693,1.40814455599452,"Fragile",0,0,"Not Fragile",10,0,Jul 2021,0,0,2,1.09861228866811,-1.26471275407226,0.766302369582999,2.06776466895553,0
"7","Ethiopia","ETH","Ethiopia","medium-intensity conflict",10,8,0,0,0,0,0,0,0,"Not Fragile",0,"ETH",151336,2.24487539636064,"Fragile",2733628,1.2823106772513,"Fragile",10,10,Jul 2021,762,6.63725803128446,1845,7.5207764150628,1.45832558506532,1.09484929569449,5.92412967536077,10
